pre.0.weight     torch.Size([24, 3, 3, 3])
pre.0.bias       torch.Size([24])
pre.1.weight     torch.Size([24])
pre.1.bias       torch.Size([24])
pre.1.running_mean       torch.Size([24])
pre.1.running_var        torch.Size([24])
pre.1.num_batches_tracked        torch.Size([])
stage2.0.residual.0.weight       torch.Size([24, 24, 1, 1])
stage2.0.residual.0.bias         torch.Size([24])
stage2.0.residual.1.weight       torch.Size([24])
stage2.0.residual.1.bias         torch.Size([24])
stage2.0.residual.1.running_mean         torch.Size([24])
stage2.0.residual.1.running_var          torch.Size([24])
stage2.0.residual.1.num_batches_tracked          torch.Size([])
stage2.0.residual.3.weight       torch.Size([24, 1, 3, 3])
stage2.0.residual.3.bias         torch.Size([24])
stage2.0.residual.4.weight       torch.Size([24])
stage2.0.residual.4.bias         torch.Size([24])
stage2.0.residual.4.running_mean         torch.Size([24])
stage2.0.residual.4.running_var          torch.Size([24])
stage2.0.residual.4.num_batches_tracked          torch.Size([])
stage2.0.residual.5.weight       torch.Size([58, 24, 1, 1])
stage2.0.residual.5.bias         torch.Size([58])
stage2.0.residual.6.weight       torch.Size([58])
stage2.0.residual.6.bias         torch.Size([58])
stage2.0.residual.6.running_mean         torch.Size([58])
stage2.0.residual.6.running_var          torch.Size([58])
stage2.0.residual.6.num_batches_tracked          torch.Size([])
stage2.0.shortcut.0.weight       torch.Size([24, 1, 3, 3])
stage2.0.shortcut.0.bias         torch.Size([24])
stage2.0.shortcut.1.weight       torch.Size([24])
stage2.0.shortcut.1.bias         torch.Size([24])
stage2.0.shortcut.1.running_mean         torch.Size([24])
stage2.0.shortcut.1.running_var          torch.Size([24])
stage2.0.shortcut.1.num_batches_tracked          torch.Size([])
stage2.0.shortcut.2.weight       torch.Size([58, 24, 1, 1])
stage2.0.shortcut.2.bias         torch.Size([58])
stage2.0.shortcut.3.weight       torch.Size([58])
stage2.0.shortcut.3.bias         torch.Size([58])
stage2.0.shortcut.3.running_mean         torch.Size([58])
stage2.0.shortcut.3.running_var          torch.Size([58])
stage2.0.shortcut.3.num_batches_tracked          torch.Size([])
stage2.1.residual.0.weight       torch.Size([58, 58, 1, 1])
stage2.1.residual.0.bias         torch.Size([58])
stage2.1.residual.1.weight       torch.Size([58])
stage2.1.residual.1.bias         torch.Size([58])
stage2.1.residual.1.running_mean         torch.Size([58])
stage2.1.residual.1.running_var          torch.Size([58])
stage2.1.residual.1.num_batches_tracked          torch.Size([])
stage2.1.residual.3.weight       torch.Size([58, 1, 3, 3])
stage2.1.residual.3.bias         torch.Size([58])
stage2.1.residual.4.weight       torch.Size([58])
stage2.1.residual.4.bias         torch.Size([58])
stage2.1.residual.4.running_mean         torch.Size([58])
stage2.1.residual.4.running_var          torch.Size([58])
stage2.1.residual.4.num_batches_tracked          torch.Size([])
stage2.1.residual.5.weight       torch.Size([58, 58, 1, 1])
stage2.1.residual.5.bias         torch.Size([58])
stage2.1.residual.6.weight       torch.Size([58])
stage2.1.residual.6.bias         torch.Size([58])
stage2.1.residual.6.running_mean         torch.Size([58])
stage2.1.residual.6.running_var          torch.Size([58])
stage2.1.residual.6.num_batches_tracked          torch.Size([])
stage2.2.residual.0.weight       torch.Size([58, 58, 1, 1])
stage2.2.residual.0.bias         torch.Size([58])
stage2.2.residual.1.weight       torch.Size([58])
stage2.2.residual.1.bias         torch.Size([58])
stage2.2.residual.1.running_mean         torch.Size([58])
stage2.2.residual.1.running_var          torch.Size([58])
stage2.2.residual.1.num_batches_tracked          torch.Size([])
stage2.2.residual.3.weight       torch.Size([58, 1, 3, 3])
stage2.2.residual.3.bias         torch.Size([58])
stage2.2.residual.4.weight       torch.Size([58])
stage2.2.residual.4.bias         torch.Size([58])
stage2.2.residual.4.running_mean         torch.Size([58])
stage2.2.residual.4.running_var          torch.Size([58])
stage2.2.residual.4.num_batches_tracked          torch.Size([])
stage2.2.residual.5.weight       torch.Size([58, 58, 1, 1])
stage2.2.residual.5.bias         torch.Size([58])
stage2.2.residual.6.weight       torch.Size([58])
stage2.2.residual.6.bias         torch.Size([58])
stage2.2.residual.6.running_mean         torch.Size([58])
stage2.2.residual.6.running_var          torch.Size([58])
stage2.2.residual.6.num_batches_tracked          torch.Size([])
stage2.3.residual.0.weight       torch.Size([58, 58, 1, 1])
stage2.3.residual.0.bias         torch.Size([58])
stage2.3.residual.1.weight       torch.Size([58])
stage2.3.residual.1.bias         torch.Size([58])
stage2.3.residual.1.running_mean         torch.Size([58])
stage2.3.residual.1.running_var          torch.Size([58])
stage2.3.residual.1.num_batches_tracked          torch.Size([])
stage2.3.residual.3.weight       torch.Size([58, 1, 3, 3])
stage2.3.residual.3.bias         torch.Size([58])
stage2.3.residual.4.weight       torch.Size([58])
stage2.3.residual.4.bias         torch.Size([58])
stage2.3.residual.4.running_mean         torch.Size([58])
stage2.3.residual.4.running_var          torch.Size([58])
stage2.3.residual.4.num_batches_tracked          torch.Size([])
stage2.3.residual.5.weight       torch.Size([58, 58, 1, 1])
stage2.3.residual.5.bias         torch.Size([58])
stage2.3.residual.6.weight       torch.Size([58])
stage2.3.residual.6.bias         torch.Size([58])
stage2.3.residual.6.running_mean         torch.Size([58])
stage2.3.residual.6.running_var          torch.Size([58])
stage2.3.residual.6.num_batches_tracked          torch.Size([])
stage3.0.residual.0.weight       torch.Size([116, 116, 1, 1])
stage3.0.residual.0.bias         torch.Size([116])
stage3.0.residual.1.weight       torch.Size([116])
stage3.0.residual.1.bias         torch.Size([116])
stage3.0.residual.1.running_mean         torch.Size([116])
stage3.0.residual.1.running_var          torch.Size([116])
stage3.0.residual.1.num_batches_tracked          torch.Size([])
stage3.0.residual.3.weight       torch.Size([116, 1, 3, 3])
stage3.0.residual.3.bias         torch.Size([116])
stage3.0.residual.4.weight       torch.Size([116])
stage3.0.residual.4.bias         torch.Size([116])
stage3.0.residual.4.running_mean         torch.Size([116])
stage3.0.residual.4.running_var          torch.Size([116])
stage3.0.residual.4.num_batches_tracked          torch.Size([])
stage3.0.residual.5.weight       torch.Size([116, 116, 1, 1])
stage3.0.residual.5.bias         torch.Size([116])
stage3.0.residual.6.weight       torch.Size([116])
stage3.0.residual.6.bias         torch.Size([116])
stage3.0.residual.6.running_mean         torch.Size([116])
stage3.0.residual.6.running_var          torch.Size([116])
stage3.0.residual.6.num_batches_tracked          torch.Size([])
stage3.0.shortcut.0.weight       torch.Size([116, 1, 3, 3])
stage3.0.shortcut.0.bias         torch.Size([116])
stage3.0.shortcut.1.weight       torch.Size([116])
stage3.0.shortcut.1.bias         torch.Size([116])
stage3.0.shortcut.1.running_mean         torch.Size([116])
stage3.0.shortcut.1.running_var          torch.Size([116])
stage3.0.shortcut.1.num_batches_tracked          torch.Size([])
stage3.0.shortcut.2.weight       torch.Size([116, 116, 1, 1])
stage3.0.shortcut.2.bias         torch.Size([116])
stage3.0.shortcut.3.weight       torch.Size([116])
stage3.0.shortcut.3.bias         torch.Size([116])
stage3.0.shortcut.3.running_mean         torch.Size([116])
stage3.0.shortcut.3.running_var          torch.Size([116])
stage3.0.shortcut.3.num_batches_tracked          torch.Size([])
stage3.1.residual.0.weight       torch.Size([116, 116, 1, 1])
stage3.1.residual.0.bias         torch.Size([116])
stage3.1.residual.1.weight       torch.Size([116])
stage3.1.residual.1.bias         torch.Size([116])
stage3.1.residual.1.running_mean         torch.Size([116])
stage3.1.residual.1.running_var          torch.Size([116])
stage3.1.residual.1.num_batches_tracked          torch.Size([])
stage3.1.residual.3.weight       torch.Size([116, 1, 3, 3])
